name	valid_species
Achromobacter xylosoxidans	TRUE
Acinetobacter baumannii	TRUE
Acinetobacter pittii	TRUE
Actinobacillus pleuropneumoniae	TRUE
Actinomyces israelii	TRUE
Actinomyces spp	FALSE
Aerococcus sanguinicola	TRUE
Aerococcus urinae	TRUE
Aeromonas caviae	TRUE
Aeromonas hydrophila	TRUE
Aeromonas veronii	TRUE
Alcaligenes faecalis	TRUE
Alcaligenes xylosoxidans	TRUE
Anaerobic cocci Gram positive	FALSE
Arcanobacterium pyogenes	TRUE
Bacillus anthracis	TRUE
Bacillus cereus	TRUE
Bacteroides caccae	TRUE
Bacteroides capillosus	TRUE
Bacteroides eggerthii	TRUE
Bacteroides fragilis	TRUE
Bacteroides fragilis group	FALSE
Bacteroides ovatus	TRUE
Bacteroides thetaiotaomicron	TRUE
Bacteroides uniformis	TRUE
Bacteroides vulgatus	TRUE
Bifidobacterium adolescentis	TRUE
Bifidobacterium animalis	TRUE
Bifidobacterium bifidum	TRUE
Bifidobacterium longum	TRUE
Bifidobacterium pseudolongum	TRUE
Bifidobacterium thermophilum	TRUE
Bilophila wadsworthia	TRUE
Bordetella bronchiseptica	TRUE
Brucella melitensis	TRUE
Burkholderia cepacia complex	TRUE
Burkholderia pseudomallei	TRUE
Campylobacter coli	TRUE
Campylobacter jejuni	TRUE
Campylobacter upsaliensis	TRUE
Chryseobacterium spp	FALSE
Citrobacter amalonaticus	TRUE
Citrobacter braakii	TRUE
Citrobacter freundii	TRUE
Citrobacter koseri	TRUE
Clostridioides difficile	TRUE
Clostridium innocuum	TRUE
Clostridium perfringens	TRUE
Clostridium ramnosum	TRUE
Corynebacterium amycolatum	TRUE
Corynebacterium diphtheriae	TRUE
Corynebacterium glucuronolyticum	TRUE
Corynebacterium jeikeium	TRUE
Corynebacterium pseudodiphtheriticum	TRUE
Corynebacterium striatum	TRUE
Corynebacterium ulcerans	TRUE
Cutibacterium acnes	TRUE
Enterobacter agglomerans	TRUE
Enterobacter amnigenus	TRUE
Enterobacter asburiae	TRUE
Enterobacter cloacae	TRUE
Enterobacter dissolvens	TRUE
Enterobacter sakazakii	TRUE
Enterococcus avium	TRUE
Enterococcus casseliflavus	TRUE
Enterococcus cecorum	TRUE
Enterococcus faecalis	TRUE
Enterococcus faecalis ATCC 29212	FALSE
Enterococcus faecium	TRUE
Enterococcus gallinarum	TRUE
Enterococcus hirae	TRUE
Escherichia coli	TRUE
Escherichia coli ATCC 25922	FALSE
Escherichia coli ATCC 35218	FALSE
Escherichia coli NCTC 13846	FALSE
Eubacterium lentum	TRUE
Finegoldia magna	TRUE
Francisella tularensis	TRUE
Fusobacterium mortiferum	TRUE
Fusobacterium necrophorum	TRUE
Fusobacterium nucleatum	TRUE
Haemophilus influenzae	TRUE
Haemophilus influenzae ATCC 49247	FALSE
Haemophilus influenzae ATCC 49766	FALSE
Haemophilus parainfluenzae	TRUE
Haemophilus parasuis	TRUE
Hafnia alvei	TRUE
Helicobacter pylori	TRUE
Histophilus somni	TRUE
Kingella kingae	TRUE
Klebsiella aerogenes	TRUE
Klebsiella oxytoca	TRUE
Klebsiella ozaenae	TRUE
Klebsiella pneumoniae	TRUE
Klebsiella pneumoniae ATCC 700603	FALSE
Klebsiella terrigena	TRUE
Klebsiella variicola	TRUE
Kocuria kristinae	TRUE
Lactobacillus acidophilus	TRUE
Lactobacillus amylovorus	TRUE
Lactobacillus crispatus	TRUE
Lactobacillus delbrueckii	TRUE
Lactobacillus fermentum	TRUE
Lactobacillus gallinarum	TRUE
Lactobacillus gasseri	TRUE
Lactobacillus helveticus	TRUE
Lactobacillus johnsonii	TRUE
Lactobacillus lactis	TRUE
Lactobacillus paracasei	TRUE
Lactobacillus plantarum	TRUE
Lactobacillus reuteri	TRUE
Lactobacillus rhamnosus	TRUE
Lactobacillus sakei	TRUE
Lactococcus lactis	TRUE
Legionella pneumophila	TRUE
Listeria monocytogenes	TRUE
Mannheimia haemolytica	TRUE
Moraxella catarrhalis	TRUE
Morganella morganii	TRUE
Mycobacterium abscessus	TRUE
Mycobacterium avium	TRUE
Mycobacterium avium ATCC 700898	FALSE
Mycobacterium intracellulare	TRUE
Mycobacterium marinum	TRUE
Mycobacterium tuberculosis	TRUE
Mycobacterium tuberculosis 7H10	FALSE
Mycobacterium tuberculosis 7H11	FALSE
Mycobacterium tuberculosis 7H9	FALSE
Mycobacterium tuberculosis MGIT 960	FALSE
Mycoplasma bovis	TRUE
Mycoplasma hyopneumoniae	TRUE
Neisseria gonorrhoeae	TRUE
Neisseria meningitidis	TRUE
Nocardia aboflava	TRUE
Nocardia abscessus	TRUE
Nocardia cyriacigeorgica	TRUE
Nocardia nova	TRUE
Nocardia takedensis	TRUE
Pantoea agglomerans	TRUE
Parabacteroides distasonis	TRUE
Pasteurella multocida	TRUE
Peptostreptococcus anaerobius	TRUE
Peptostreptococcus asacchoralyticus	TRUE
Peptostreptococcus micros	TRUE
Peptostreptococcus prevotii	TRUE
